ID,Species,Population,Region,State,Replicate,Strat Length,Strat Temp,Strat Treat,Inc Temp,TreatID,Total Germ,Viable,Dead,Total Viable,VAG,bio1,bio2,bio4,bio8,bio12,bio15,bio18
HEMU1-1(1),Heliomeris_multiflora,AZ,Flagstaff,AZ,1,8,3,"8wks, 3C",20/10,"8w (3C), 20/10C",3,16,6,19,0.16,104,162,7145,194,556,37,150
HEMU1-2(1),Heliomeris_multiflora,AZ,Flagstaff,AZ,2,8,3,"8wks, 3C",20/10,"8w (3C), 20/10C",5,14,6,19,0.26,104,162,7145,194,556,37,150
HEMU1-3(1),Heliomeris_multiflora,AZ,Flagstaff,AZ,3,8,3,"8wks, 3C",20/10,"8w (3C), 20/10C",2,17,6,19,0.11,104,162,7145,194,556,37,150
HEMU1-4(1),Heliomeris_multiflora,AZ,Flagstaff,AZ,4,8,3,"8wks, 3C",20/10,"8w (3C), 20/10C",2,15,8,17,0.12,104,162,7145,194,556,37,150
HEMU1-5(1),Heliomeris_multiflora,AZ,Flagstaff,AZ,1,8,3,"8wks, 3C",25/15,"8w (3C), 25/15C",9,7,9,16,0.56,104,162,7145,194,556,37,150
HEMU1-6(1),Heliomeris_multiflora,AZ,Flagstaff,AZ,2,8,3,"8wks, 3C",25/15,"8w (3C), 25/15C",7,9,9,16,0.44,104,162,7145,194,556,37,150
HEMU1-7(1),Heliomeris_multiflora,AZ,Flagstaff,AZ,3,8,3,"8wks, 3C",25/15,"8w (3C), 25/15C",6,14,5,20,0.3,104,162,7145,194,556,37,150
HEMU1-8(1),Heliomeris_multiflora,AZ,Flagstaff,AZ,4,8,3,"8wks, 3C",25/15,"8w (3C), 25/15C",9,6,10,15,0.6,104,162,7145,194,556,37,150
HEMU2-1(1),Heliomeris_multiflora,CO,Ouray,CO,1,8,3,"8wks, 3C",20/10,"8w (3C), 20/10C",11,0,13,11,1,19,170,8499,120,422,28,141
HEMU2-2(1),Heliomeris_multiflora,CO,Ouray,CO,2,8,3,"8wks, 3C",20/10,"8w (3C), 20/10C",22,3,1,25,0.88,19,170,8499,120,422,28,141
HEMU2-3(1),Heliomeris_multiflora,CO,Ouray,CO,3,8,3,"8wks, 3C",20/10,"8w (3C), 20/10C",24,1,0,25,0.96,19,170,8499,120,422,28,141
HEMU2-4(1),Heliomeris_multiflora,CO,Ouray,CO,4,8,3,"8wks, 3C",20/10,"8w (3C), 20/10C",19,3,3,22,0.86,19,170,8499,120,422,28,141
HEMU2-5(1),Heliomeris_multiflora,CO,Ouray,CO,1,8,3,"8wks, 3C",25/15,"8w (3C), 25/15C",24,1,1,25,0.96,19,170,8499,120,422,28,141
HEMU2-6(1),Heliomeris_multiflora,CO,Ouray,CO,2,8,3,"8wks, 3C",25/15,"8w (3C), 25/15C",22,3,3,25,0.85,19,170,8499,120,422,28,141
HEMU2-7(1),Heliomeris_multiflora,CO,Ouray,CO,3,8,3,"8wks, 3C",25/15,"8w (3C), 25/15C",21,1,3,22,0.95,19,170,8499,120,422,28,141
HEMU2-8(1),Heliomeris_multiflora,CO,Ouray,CO,4,8,3,"8wks, 3C",25/15,"8w (3C), 25/15C",22,0,5,22,1,19,170,8499,120,422,28,141
HEMU3-1(1),Heliomeris_multiflora,NM,Organ,NM,1,8,3,"8wks, 3C",20/10,"8w (3C), 20/10C",22,1,2,23,0.96,124,162,6927,204,363,72,175
HEMU3-2(1),Heliomeris_multiflora,NM,Organ,NM,2,8,3,"8wks, 3C",20/10,"8w (3C), 20/10C",25,0,1,25,1,124,162,6927,204,363,72,175
HEMU3-3(1),Heliomeris_multiflora,NM,Organ,NM,3,8,3,"8wks, 3C",20/10,"8w (3C), 20/10C",23,0,2,23,1,124,162,6927,204,363,72,175
HEMU3-4(1),Heliomeris_multiflora,NM,Organ,NM,4,8,3,"8wks, 3C",20/10,"8w (3C), 20/10C",23,1,1,24,0.96,124,162,6927,204,363,72,175
HEMU3-5(1),Heliomeris_multiflora,NM,Organ,NM,1,8,3,"8wks, 3C",25/15,"8w (3C), 25/15C",20,1,4,21,0.95,124,162,6927,204,363,72,175
HEMU3-6(1),Heliomeris_multiflora,NM,Organ,NM,2,8,3,"8wks, 3C",25/15,"8w (3C), 25/15C",23,0,2,23,1,124,162,6927,204,363,72,175
HEMU3-7(1),Heliomeris_multiflora,NM,Organ,NM,3,8,3,"8wks, 3C",25/15,"8w (3C), 25/15C",22,0,4,22,1,124,162,6927,204,363,72,175
HEMU3-8(1),Heliomeris_multiflora,NM,Organ,NM,4,8,3,"8wks, 3C",25/15,"8w (3C), 25/15C",24,0,1,24,1,124,162,6927,204,363,72,175
HEMU1-1(2),Heliomeris_multiflora,AZ,Flagstaff,AZ,1,3,3,"3wks, 3C",20/10,"3w (3C), 20/10C",0,23,2,23,0,104,162,7145,194,556,37,150
